Team,Year,Rank
Alabama,2014,1
Oregon,2014,2
Florida State,2014,3
Mississippi State,2014,4
TCU,2014,5
Ohio State,2014,6
Baylor,2014,7
UCLA,2014,8
Georgia,2014,9
Michigan State,2014,10
Arizona,2014,11
Kansas State,2014,12
Arizona State,2014,13
Wisconsin,2014,14
Auburn,2014,15
Georgia Tech,2014,16
Missouri,2014,17
Minnesota,2014,18
Ole Miss,2014,19
Oklahoma,2014,20
Clemson,2014,21
Louisville,2014,22
Boise State,2014,23
Marshall,2014,24
Utah,2014,25
Florida State,2013,1
Auburn,2013,2
Michigan State,2013,3
South Carolina,2013,4
Missouri,2013,5
Oklahoma,2013,6
Alabama,2013,7
Clemson,2013,8
Oregon,2013,9
UCF,2013,10
Stanford,2013,11
Ohio State,2013,12
Baylor,2013,13
LSU,2013,14
Louisville,2013,15
UCLA,2013,16
Oklahoma State,2013,17
Texas A&M,2013,18
USC,2013,19
Notre Dame,2013,20
Arizona State,2013,21
Wisconsin,2013,22
Duke,2013,23
Vanderbilt,2013,24
Washington,2013,25
Alabama,2012,1
Oregon,2012,2
Ohio State,2012,3
Notre Dame,2012,4
Georgia,2012,5
Texas A&M,2012,6
Stanford,2012,7
South Carolina,2012,8
Florida,2012,9
Florida State,2012,10
Clemson,2012,11
Kansas State,2012,12
Louisville,2012,13
LSU,2012,14
Oklahoma,2012,15
Utah State,2012,16
Northwestern,2012,17
Boise State,2012,18
Texas,2012,19
Oregon State,2012,20
San José St,2012,21
Northern Illinois,2012,22
Vanderbilt,2012,23
Michigan,2012,24
Nebraska,2012,25
Alabama,2011,1
LSU,2011,2
Oklahoma State,2011,3
Oregon,2011,4
Arkansas,2011,5
USC,2011,6
Stanford,2011,7
Boise State,2011,8
South Carolina,2011,9
Wisconsin,2011,10
Michigan State,2011,11
Michigan,2011,12
Baylor,2011,13
TCU,2011,14
Kansas State,2011,15
Oklahoma,2011,16
West Virginia,2011,17
Houston,2011,18
Georgia,2011,19
Southern Miss,2011,20
Virginia Tech,2011,21
Clemson,2011,22
Florida State,2011,23
Nebraska,2011,24
Cincinnati,2011,25
Auburn,2010,1
TCU,2010,2
Oregon,2010,3
Stanford,2010,4
Ohio State,2010,5
Oklahoma,2010,6
Wisconsin,2010,7
LSU,2010,8
Boise State,2010,9
Alabama,2010,10
Nevada,2010,11
Arkansas,2010,12
Oklahoma State,2010,13
Michigan State,2010,14
Mississippi State,2010,15
Virginia Tech,2010,16
Florida State,2010,17
Missouri,2010,18
Texas A&M,2010,19
Nebraska,2010,20
UCF,2010,21
South Carolina,2010,22
Maryland,2010,23
Tulsa,2010,24
North Carolina State,2010,25
Alabama,2009,1
Texas,2009,2
Florida,2009,3
Boise State,2009,4
Ohio State,2009,5
TCU,2009,6
